All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
Textainer Group Holdings Ltd.;TGH;Transportation;7;397;-;-;34.44;5.46;0.4600;0.4700;2.17;8-14-13;8-16-13;8-27-13;B27;Bermuda,US$;1.88;60.06;(8.6);11.00;12;3.13;1.64;3.58;1.71;16.00;(18.9);9.8 ;12.5 ;6.7 ;12 ;1,953;4.9;2.35;1.241;n/a;12.3;22.7;15.5;n/a;1.830;;1.630;1.280;;0.990;0.920;0.890;0.200;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.740;12.3;27.3;29.3;7.6;3.4;345.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.3;87.8;Industrials;10.0 ;21.0 ;54.2;1.85;2.03;2.17;2.31;2.47;10.82;31.4;1.17 ;18.7 ;(13.0);3.3 ;(4.3)
Thomasville Bancshares Inc.;THVB;Banking;13;220;-;-;26.00;3.08;0.7500;0.8000;6.67;6-11-14;6-13-14;7-2-14;Jul;Annual Div.;0.80;109.59;176.2 ;35.62;12;0.73;n/a;10.30;4.82;n/a;n/a;n/a;n/a;n/a;0 ;154;n/a;n/a;n/a;0.660 ;7.1;7.7;8.4;12.8 ;0.750;;0.700;0.650;;0.600;0.550;0.500;0.400;0.300;0.250;0.230;0.225;0.200;0.175;0.150;0.000;5.680;7.1;7.7;8.3;9.1;10.0;25.0;33.3;20.0;8.7;2.2;12.5;14.3;16.7;0.0;12.5;8.6;Financials;(24.1);11.5 ;35.7;0.77;0.80;0.82;0.84;0.87;4.10;15.8;n/a;92.6 ;0.0 ;0.5 ;17.8 
Thomson Reuters Corp.;TRI;Media;21;131;-;-;37.22;3.55;0.3250;0.3300;1.54;2-20-14;2-24-14;3-17-14;C17;Canada,US$;1.32;244.44;143.2 ;68.93;12;0.54;6.40;2.36;1.93;2.80;(93.7);16.2 ;(38.3);10.8 ;19 ;29,868;55.0;0.52;n/a;0.628 ;1.6;3.9;3.8;6.0 ;1.300;;1.280;1.240;;1.160;1.120;1.080;0.980;0.880;0.790;0.755;0.725;0.705;0.700;0.685;0.658;14.058;1.6;3.2;6.9;3.6;3.7;10.2;11.4;11.4;4.6;4.1;2.8;0.7;2.2;4.2;5.0;3.4;Consumer Discretionary;(61.6);7.3 ;39.4;1.31;1.44;1.59;1.75;1.92;8.02;21.5;0.85 ;14.1 ;(2.9);0.6 ;4.7 
Thor Industries Inc.;THO;Recreational Vehicles;5;546;-;-;52.89;2.04;0.2300;0.2700;17.39;10-15-14;10-17-14;10-31-14;A31;;1.08;32.83;43.4 ;16.08;7;3.29;0.80;0.80;2.88;19.60;15.0 ;15.6 ;60.4 ;20.0 ;8 ;2,821;3.0;0.00;0.371;0.619 ;22.2;35.4;22.4;36.2 ;0.770;;0.630;0.450;;0.310;0.280;0.280;0.280;0.260;0.140;0.105;0.035;0.020;0.020;0.020;0.020;3.620;22.2;40.0;45.2;10.7;0.0;0.0;7.7;85.7;33.3;200.0;75.0;0.0;0.0;0.0;37.1;52.8;Consumer Discretionary;8.4 ;24.5 ;72.5;0.85;0.93;1.02;1.13;1.24;5.17;9.8;1.74 ;11.1 ;(17.5);1.0 ;(4.6)
Tiffany & Company;TIF;Retail-Jewelry;12;251;N;Y;96.12;1.58;0.3400;0.3800;11.76;6-18-14;6-20-14;7-10-14;A10;;1.52;81.72;212.1 ;51.68;1;1.86;4.25;2.95;4.24;8.50;(56.6);13.9 ;(5.2);12.2 ;26 ;12,427;0.5;0.35;n/a;0.707 ;8.2;14.9;15.6;22.0 ;1.320;;1.220;1.080;;0.870;0.680;0.640;0.470;0.360;0.280;0.220;0.180;0.160;0.160;0.140;0.105;7.885;8.2;13.0;24.1;27.9;6.3;36.2;30.6;28.6;27.3;22.2;12.5;0.0;14.3;33.3;20.3;10.8;Consumer Discretionary;(34.5);17.2 ;60.6;1.33;1.47;1.61;1.77;1.95;8.14;8.5;1.76 ;24.9 ;(8.7);(0.7);3.0 
Tim Hortons Inc.;THI;Restaurants;8;376;-;-;81.02;1.26;0.2105;0.2546;20.96;11-21-13;11-25-13;12-10-13;C10;Being Acquired;1.02;37.72;552.3 ;30.01;12;2.70;3.02;3.58;31.90;60.80;8.7 ;10.8 ;12.6 ;9.9 ;10 ;10,741;5.5;3.79;1.868;n/a;21.0;26.8;23.5;n/a;1.018;;0.842;0.682;;0.499;0.358;0.354;0.262;0.125;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.140;21.0;23.5;36.7;39.4;1.1;35.1;109.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;29.4;Consumer Discretionary;(5.2);24.8 ;61.0;1.11;1.22;1.34;1.47;1.62;6.75;8.3;0.78 ;62.4 ;(1.4);2.9 ;33.7 
Time Warner Cable Inc.;TWC;Media;5;466;-;-;147.21;2.04;0.6500;0.7500;15.38;2-26-14;2-28-14;3-7-14;C07;Being Acquired;3.00;41.96;125.2 ;20.59;12;7.15;1.50;1.84;5.54;29.00;(2.9);8.2 ;18.1 ;13.7 ;29 ;41,158;0.1;3.32;n/a;n/a;16.1;17.6;n/a;n/a;2.600;;2.240;1.920;;1.600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;8.360;16.1;16.7;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8;7.3;Consumer Discretionary;n/a;n/a;52.1;2.63;2.84;3.13;3.44;3.78;15.82;10.7;0.89 ;28.5 ;(5.2);1.3 ;4.2 
Time Warner Inc.;TWX;Media;5;530;-;-;79.47;1.60;0.3046;0.3175;4.22;8-27-14;8-29-14;9-15-14;C15;Adj/Spin-off,&;1.27;27.49;43.1 ;17.20;12;4.62;1.04;2.34;2.68;14.80;25.8 ;16.1 ;23.5 ;16.6 ;34 ;67,934;0.1;0.87;0.380;n/a;10.6;10.6;8.9;n/a;1.103;;0.998;0.902;;0.816;0.720;0.720;0.676;0.604;0.288;0.000;0.000;0.000;0.000;0.173;0.173;7.172;10.6;10.6;10.6;13.3;0.0;6.4;11.9;110.0;0.0;0.0;0.0;0.0;0.0;0.0;12.4;27.6;Consumer Discretionary;(6.7);10.5 ;66.6;1.21;1.34;1.47;1.62;1.78;7.41;9.3;1.14 ;38.4 ;(9.5);4.6 ;14.6 
TJX Companies Inc.;TJX;Retail-Apparel;18;163;-;-;63.32;1.11;0.1450;0.1750;20.69;5-13-14;5-15-14;6-5-14;C05;;0.70;23.03;208.5 ;20.83;1;3.04;1.84;1.56;10.28;51.50;15.3 ;12.3 ;23.1 ;11.3 ;28 ;43,877;0.5;0.38;0.919;0.910 ;25.0;24.5;21.2;23.3 ;0.550;;0.440;0.360;;0.285;0.235;0.210;0.170;0.135;0.113;0.085;0.068;0.056;0.044;0.039;0.034;2.823;25.0;22.2;26.3;21.3;11.9;23.5;25.9;20.0;32.4;25.9;20.0;28.6;12.9;14.8;22.2;5.7;Consumer Discretionary;1.5 ;22.3 ;77.2;0.61;0.67;0.73;0.81;0.89;3.69;5.8;0.60 ;22.4 ;(0.8);4.8 ;9.5 
Tompkins Financial Corp.;TMP;Banking;28;98;N;N;50.20;3.35;0.4000;0.4200;5.00;10-31-14;11-4-14;11-14-14;B14;;1.68;46.67;(3.3);13.94;12;3.60;1.74;4.01;1.51;11.20;42.4 ;3.2 ;4.5 ;8.0 ;4 ;745;2.3;0.42;1.137;0.819 ;5.5;5.0;5.1;6.2;1.540;;1.460;1.400;;1.329;1.236;1.200;1.127;1.041;0.969;0.902;0.840;0.792;0.752;0.738;0.704;16.030;5.5;4.3;5.3;7.5;3.0;6.5;8.3;7.4;7.5;7.3;6.0;5.4;1.8;4.9;5.8;1.8;Financials;(5.5);8.5 ;59.8;1.69;1.75;1.89;2.04;2.20;9.57;19.1;0.74 ;15.4 ;(0.9);9.9 ;8.2 
Tootsie Roll Industries;TR;Confectioner;48;18;-;-;29.65;1.08;0.0777;0.0800;3.00;2-28-14;3-4-14;3-28-14;C28;Adj/Stk Div;0.32;31.68;85.9 ;29.36;12;1.01;3.26;3.24;2.65;9.20;19.3 ;0.0 ;10.5 ;9.0 ;0 ;1,755;0.1;0.01;0.271;0.974 ;3.0;2.7;2.8;2.9;0.308;;0.299;0.293;;0.284;0.276;0.268;0.260;0.253;0.245;0.238;0.231;0.224;0.218;0.212;0.205;3.816;3.0;2.3;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.9;0.2;Consumer Staples;(25.4);3.9 ;48.6;0.34;0.34;0.37;0.40;0.44;1.89;6.4;0.91 ;14.3 ;(8.5);5.2 ;4.2 
Torchmark Corp.;TMK;Insurance;9;358;Y;Y;52.96;0.96;0.1133;0.1267;11.76;4-1-14;4-3-14;5-1-14;B01;;0.51;12.79;(4.3);13.37;12;3.96;1.56;1.79;1.54;13.30;5.3 ;8.5 ;11.9 ;8.6 ;18 ;6,916;1.3;0.28;1.048;1.241 ;15.8;17.5;12.5;10.0 ;0.440;;0.380;0.296;;0.271;0.249;0.244;0.231;0.213;0.196;0.196;0.169;0.160;0.160;0.160;0.160;3.524;15.8;28.6;9.0;8.9;1.8;5.8;8.3;9.1;0.0;15.8;5.6;0.0;0.0;0.0;7.8;7.8;Financials;0.1 ;13.4 ;74.7;0.46;0.50;0.55;0.59;0.64;2.75;5.2;1.11 ;11.5 ;(6.0);0.3 ;0.6 
Toro Company;TTC;Tools & Accesories;5;454;N;N;61.73;1.30;0.1400;0.2000;42.86;12-26-13;12-30-13;1-15-14;A15;;0.80;27.30;180.1 ;21.07;10;2.93;1.40;1.61;8.38;44.80;22.4 ;12.1 ;11.1 ;15.0 ;5 ;3,437;1.2;0.55;1.198;0.531 ;27.3;15.9;13.3;25.0 ;0.560;;0.440;0.400;;0.360;0.300;0.300;0.240;0.180;0.120;0.060;0.060;0.060;0.060;0.060;0.060;3.260;27.3;10.0;11.1;20.0;0.0;25.0;33.3;50.0;100.0;0.0;0.0;0.0;0.0;0.0;19.8;26.9;Consumer Discretionary;(6.5);14.6 ;73.6;0.62;0.68;0.75;0.82;0.90;3.76;6.1;0.94 ;10.7 ;(7.5);3.6 ;(0.7)
Tractor Supply Company;TSCO;Retail-Specialty;5;501;-;-;73.22;0.87;0.1300;0.1600;23.08;5-15-14;5-19-14;6-3-14;C03;;0.64;25.30;224.2 ;28.94;12;2.53;1.77;1.82;8.17;28.70;22.1 ;15.8 ;26.4 ;16.3 ;28 ;10,081;0.3;0.12;n/a;n/a;36.1;51.8;n/a;n/a;0.490;;0.360;0.215;;0.140;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.205;36.1;67.4;53.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.2;22.3;Consumer Discretionary;n/a;n/a;61.3;0.54;0.59;0.65;0.72;0.79;3.29;4.5;1.06 ;30.9 ;(5.7);16.0 ;12.4 
Transmontaigne Partners LP;TLP;MLP-Oil&Gas Pipelines;10;329;-;-;37.45;7.10;0.6600;0.6650;0.76;7-29-14;7-31-14;8-7-14;B07;&;2.66;151.14;28.3 ;21.28;12;1.76;7.09;3.87;1.74;8.10;(17.7);13.8 ;0.2 ;3.0 ;3 ;604;2.9;0.68;13.419;n/a;1.6;2.6;2.7;n/a;2.580;;2.540;2.460;;2.390;2.360;2.260;1.900;1.690;0.550;0.000;0.000;0.000;0.000;0.000;0.000;18.730;1.6;3.3;2.9;1.3;4.4;18.9;12.4;207.3;0.0;0.0;0.0;0.0;0.0;0.0;18.0;52.8;Energy;(11.5);9.8 ;30.6;2.61;2.87;2.95;3.04;3.13;14.60;39.0;0.37 ;10.2 ;(22.7);(7.2);(11.0)
Travelers Companies;TRV;Insurance;10;325;Y;Y;100.80;2.18;0.5000;0.5500;10.00;6-6-14;6-10-14;6-30-14;C30;;2.20;21.32;(24.0);9.77;12;10.32;2.05;1.23;1.33;14.30;54.6 ;(4.8);15.2 ;4.8 ;25 ;33,405;0.3;0.25;0.690;1.949 ;9.5;11.6;10.5;5.4 ;1.960;;1.790;1.590;;1.410;1.230;1.190;1.130;1.010;0.910;0.870;1.160;1.160;1.120;1.080;1.040;18.650;9.5;12.6;12.8;14.6;3.4;5.3;11.9;11.0;4.6;0.0;0.0;3.6;3.7;3.8;6.9;4.8;Financials;2.9 ;12.7 ;69.8;2.16;2.18;2.28;2.39;2.50;11.51;11.4;0.85 ;28.4 ;0.3 ;6.9 ;12.6 
Triangle Capital Corp.;TCAP;BDC-Financial Services;8;389;N;-;25.36;9.31;0.5400;0.5900;9.26;9-8-14;9-10-14;9-24-14;C24;;2.36;84.29;(20.0);9.06;12;2.80;1.81;7.21;1.59;17.50;30.7 ;9.8 ;21.5 ;5.0 ;11 ;709;1.3;0.84;0.393;n/a;6.9;9.4;8.4;n/a;2.160;;2.020;1.770;;1.650;1.620;1.440;0.980;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;11.640;6.9;14.1;7.3;1.9;12.5;46.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;12.2;Financials;8.7 ;17.8 ;54.9;2.38;2.61;2.74;2.88;3.02;13.62;53.7;0.62 ;11.6 ;(9.6);(1.7);(1.3)
Tupperware Brands Corp.;TUP;Consumer Products;5;486;-;-;63.75;4.27;0.6200;0.6800;9.68;3-17-14;3-19-14;4-4-14;A04;;2.72;62.96;188.6 ;14.76;12;4.32;1.23;1.22;12.70;83.40;50.9 ;4.9 ;15.1 ;12.0 ;10 ;3,212;1.1;3.64;1.346;n/a;60.9;30.5;20.3;n/a;2.220;;1.380;1.200;;1.000;0.880;0.880;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.560;60.9;15.0;20.0;13.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.8;16.2;Consumer Discretionary;9.8 ;24.6 ;58.6;2.44;2.56;2.82;3.10;3.41;14.33;22.5;1.22 ;3.4 ;(32.7);(9.4);(17.9)
Tyco International Ltd.;TYC;Security Services;7;411;Y;Y;42.93;1.68;0.1600;0.1800;12.50;4-23-14;4-25-14;5-21-14;B16;ADR-Switz,US$;0.72;32.58;68.3 ;19.43;12;2.21;1.49;1.83;3.28;44.50;255.6 ;21.6 ;(12.5);13.0 ;16 ;19,040;0.5;0.24;n/a;0.721 ;20.5;15.2;14.3;19.8 ;0.630;;0.523;0.477;;0.413;0.398;0.323;0.298;0.298;0.298;0.103;0.103;0.103;0.103;0.103;0.099;4.275;20.5;9.6;15.7;3.7;23.1;8.3;0.0;0.0;188.4;0.0;0.0;0.0;0.0;4.0;19.5;47.5;Industrials;(3.5);16.0 ;75.4;0.69;0.76;0.84;0.92;1.01;4.23;9.9;0.89 ;25.5 ;(7.2);(0.2);0.6 
UGI Corp.;UGI;Utility-Electric/Gas;27;103;N;N;37.69;2.30;0.1967;0.2167;10.17;9-11-14;9-15-14;10-1-14;A01;&;0.87;43.77;41.0 ;19.04;9;1.98;2.49;0.79;2.35;13.00;29.0 ;(2.6);3.9 ;7.7 ;3 ;6,497;0.5;1.32;2.030;1.141 ;4.2;7.1;7.9;6.9;0.737;;0.707;0.680;;0.600;0.523;0.503;0.482;0.460;0.433;0.398;0.377;0.361;0.350;0.339;0.327;7.277;4.2;3.9;13.3;14.6;4.0;4.5;4.7;6.2;8.8;5.8;4.3;3.2;3.3;3.7;6.0;3.5;Utilities;(8.8);10.2 ;65.0;0.81;0.82;0.88;0.95;1.02;4.48;11.9;0.62 ;47.4 ;(0.4);7.7 ;18.4 
UMB Financial Corp.;UMBF;Banking;23;112;N;N;59.58;1.58;0.2250;0.2350;4.44;12-8-14;12-10-14;1-2-15;A02;;0.94;32.19;23.1 ;20.40;12;2.92;2.83;7.59;1.67;8.30;5.9 ;19.4 ;6.4 ;7.2 ;5 ;2,711;0.7;0.00;1.003;0.807 ;4.9;5.1;6.4;8.0 ;0.860;#;0.820;0.780;;0.740;0.700;0.630;0.550;0.510;0.440;0.420;0.400;0.395;0.381;0.373;0.346;8.345;4.9;5.1;5.4;5.7;11.1;14.5;7.8;15.9;4.8;5.0;1.2;3.7;2.3;7.5;6.8;4.2;Financials;(12.4);8.0 ;61.3;0.91;1.00;1.07;1.15;1.23;5.37;9.0;1.22 ;14.9 ;(12.0);6.0 ;1.3 
Union Pacific;UNP;Railroad;8;390;N;N;116.45;1.72;0.4550;0.5000;9.89;8-27-14;8-29-14;10-1-14;A01;&;2.00;38.99;122.3 ;22.70;12;5.13;1.70;4.53;4.90;22.20;13.8 ;14.7 ;15.7 ;13.3 ;30 ;103,536;0.1;0.51;1.660;1.273 ;18.9;35.1;26.1;20.5 ;1.480;;1.245;0.965;;0.600;0.540;0.465;0.338;0.300;0.300;0.300;0.230;0.200;0.200;0.200;0.200;7.563;18.9;29.0;60.8;11.1;16.1;37.8;12.5;0.0;0.0;30.4;15.0;0.0;0.0;0.0;16.5;17.3;Industrials;5.1 ;27.8 ;74.5;1.63;1.79;1.97;2.17;2.38;9.94;8.5;1.02 ;58.0 ;(0.5);8.4 ;19.1 
United Bankshares Inc.;UBSI;Banking;40;53;N;N;34.28;3.73;0.3100;0.3200;3.23;12-11-13;12-13-13;1-2-14;A02;RecDateStreak;1.28;71.51;10.7 ;19.15;12;1.79;4.79;6.69;1.44;7.90;3.7 ;6.5 ;(3.2);4.0 ;9 ;2,371;2.3;0.15;n/a;0.667 ;0.8;1.4;1.5;2.3;1.250;;1.240;1.200;;1.200;1.160;1.160;1.120;1.080;1.040;1.010;1.000;0.930;0.890;0.840;0.810;15.930;0.8;3.3;0.0;3.4;0.0;3.6;3.7;3.8;3.0;1.0;7.5;4.5;6.0;3.7;3.2;2.1;Financials;(13.9);5.2 ;42.4;1.30;1.38;1.44;1.49;1.55;7.16;20.9;0.93 ;25.2 ;(0.8);6.4 ;12.0 
United Parcel Service Inc.;UPS;Delivery & Freight;5;469;Y;Y;104.91;2.55;0.6200;0.6700;8.06;2-20-14;2-24-14;3-11-14;C11;;2.68;66.50;346.1 ;26.03;12;4.03;2.35;1.67;17.20;68.30;455.4 ;15.5 ;48.4 ;11.1 ;29 ;95,835;0.0;2.13;0.137;0.635 ;8.8;9.7;6.6;10.4 ;2.480;;2.280;2.080;;1.880;1.800;1.800;1.680;1.520;1.320;1.120;0.920;0.760;0.760;0.680;0.300;21.380;8.8;9.6;10.6;4.4;0.0;7.1;10.5;15.2;17.9;21.7;21.1;0.0;11.8;126.7;19.0;30.6;Industrials;(16.9);9.2 ;66.0;2.73;3.00;3.30;3.63;3.99;16.65;15.9;0.92 ;14.9 ;0.5 ;6.8 ;7.0 
United Technologies;UTX;Conglomerate;21;125;Y;Y;107.00;2.21;0.5350;0.5900;10.28;11-13-13;11-15-13;12-10-13;C10;2014=Year 21;2.36;34.81;40.6 ;15.78;12;6.78;1.49;1.51;2.82;18.80;16.1 ;6.3 ;4.9 ;10.6 ;25 ;97,885;0.1;0.59;2.100;0.711 ;8.1;8.9;10.3;14.5 ;2.195;;2.030;1.865;;1.700;1.540;1.345;1.150;1.025;0.880;0.700;0.568;0.490;0.450;0.413;0.370;16.720;8.1;8.8;9.7;10.4;14.5;17.0;12.2;16.5;25.7;23.3;15.8;8.9;9.1;11.5;13.7;5.3;Industrials;(3.3);12.5 ;78.1;2.41;2.57;2.82;3.11;3.42;14.33;13.4;1.16 ;10.0 ;(10.5);1.4 ;(4.0)
United-Guardian Inc.;UG;Personal Products;5;451;-;-;20.86;4.65;0.4550;0.4850;6.59;12-4-13;12-6-13;12-20-13;JuDe;SA,@;0.97;85.09;132.7 ;18.30;12;1.14;n/a;6.48;6.66;35.30;21.9 ;0.0 ;14.9 ;n/a;0 ;96;43.1;0.00;0.806;0.586 ;12.8;15.5;12.0;20.5 ;0.970;;0.860;0.800;;0.630;0.600;0.550;0.550;0.470;0.470;0.430;0.150;0.100;0.100;0.100;0.098;6.878;12.8;7.5;27.0;5.0;9.1;0.0;17.0;0.0;9.3;186.7;50.0;0.0;0.0;2.0;23.3;47.2;Consumer Staples;(1.6);16.7 ;43.9;1.07;1.07;1.10;1.13;1.17;5.53;26.5;0.17 ;4.3 ;(39.9);(8.7);(22.9)
UnitedHealth Group Inc.;UNH;Health Care Services;5;508;-;-;95.01;1.58;0.2800;0.3750;33.93;6-12-14;6-16-14;6-25-14;C25;;1.50;26.79;46.9 ;16.97;12;5.60;1.84;0.72;2.86;17.00;4.2 ;8.7 ;18.0 ;9.2 ;24 ;92,314;0.7;0.54;5.762;1.622 ;31.6;37.5;103.7;64.0 ;1.053;;0.800;0.613;;0.405;0.030;0.030;0.030;0.030;0.015;0.015;0.008;0.008;0.008;0.004;0.010;3.056;31.6;30.6;51.2;1250.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;100.0;0.0;118.8;316.2;Health Care;88.3 ;105.3 ;71.1;1.10;1.19;1.30;1.42;1.55;6.57;6.9;0.55 ;42.3 ;0.9 ;9.3 ;18.5 
Universal Corp.;UVV;Tobacco;43;33;N;N;44.50;4.58;0.5000;0.5100;2.00;1-9-14;1-13-14;2-10-14;B10;;2.04;66.45;(23.9);14.50;3;3.07;n/a;0.43;0.90;6.70;12.7 ;0.0 ;4.0 ;0.0 ;1 ;1,031;2.6;0.49;0.532;0.638 ;2.0;2.1;2.1;3.3;2.000;;1.960;1.920;;1.880;1.840;1.800;1.760;1.720;1.680;1.560;1.440;1.360;1.280;1.240;1.200;24.640;2.0;2.1;2.1;2.2;2.2;2.3;2.3;2.4;7.7;8.3;5.9;6.3;3.2;3.3;3.7;2.2;Consumer Staples;(7.8);6.7 ;47.3;2.20;2.20;2.20;2.20;2.20;11.00;24.7;1.35 ;8.1 ;(23.7);(3.8);(13.5)
Universal Health Realty Trust;UHT;REIT-Health Care;28;95;N;N;48.45;5.20;0.6250;0.6300;0.80;6-19-14;6-23-14;6-30-14;C30;;2.52;231.19;178.6 ;44.45;12;1.09;18.52;11.29;3.93;8.60;(32.5);0.0 ;1.2 ;2.4 ;0 ;626;1.4;1.37;1.042;0.516 ;1.6;1.0;1.3;2.4;2.490;;2.450;2.425;;2.415;2.380;2.340;2.300;2.260;2.175;2.000;1.960;1.920;1.880;1.840;1.810;32.645;1.6;1.0;0.4;1.5;1.7;1.7;1.8;3.9;8.7;2.0;2.1;2.1;2.2;1.7;2.3;1.9;Financials;(38.0);6.5 ;23.4;2.51;2.51;2.58;2.64;2.70;12.94;26.7;0.71 ;28.1 ;0.1 ;10.5 ;15.0 
Unum Group;UNM;Insurance;6;438;Y;Y;33.46;1.97;0.1450;0.1650;13.79;7-24-14;7-28-14;8-15-14;B15;;0.66;19.19;(36.6);9.73;12;3.44;1.13;0.82;0.93;10.10;1.9 ;7.5 ;14.8 ;8.6 ;16 ;8,525;0.5;0.31;0.871;3.243 ;17.0;16.3;12.9;4.0 ;0.550;;0.470;0.395;;0.350;0.315;0.300;0.300;0.300;0.300;0.300;0.373;0.590;0.590;0.590;0.590;6.313;17.0;19.0;12.9;11.1;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6;6.9;Financials;5.1 ;14.9 ;68.4;0.56;0.60;0.65;0.71;0.77;3.30;9.9;1.34 ;10.7 ;(9.5);(3.1);(1.7)
Urstadt Biddle Properties;UBA;REIT-Shopping Centers;20;143;N;-;21.63;4.67;0.2500;0.2525;1.00;12-31-13;1-3-14;1-17-14;A17;AlsoUBPat90%;1.01;229.55;139.3 ;49.16;10;0.44;9.83;6.77;2.62;10.20;(34.1);39.4 ;(14.4);5.0 ;4 ;679;2.3;0.84;n/a;0.586 ;1.0;1.0;1.0;1.8 ;1.000;;0.990;0.980;;0.970;0.960;0.950;0.920;0.900;0.880;0.860;0.840;0.820;0.800;0.780;0.760;13.410;1.0;1.0;1.0;1.0;1.1;3.3;2.2;2.3;2.3;2.4;2.4;2.5;2.6;2.6;2.0;0.7;Financials;(43.5);5.7 ;26.8;1.01;1.11;1.17;1.22;1.29;5.80;26.8;0.68 ;26.4 ;(2.1);3.6 ;8.0 
Utah Medical Products Inc.;UTMD;Medical Devices;10;309;-;-;56.80;1.76;0.2450;0.2500;2.04;12-12-13;12-16-13;12-30-13;C30;;1.00;32.68;64.5 ;18.56;12;3.06;n/a;5.26;3.28;18.90;10.2 ;0.0 ;10.2 ;n/a;1 ;212;0.2;0.11;0.168;n/a;2.1;1.6;1.7;n/a;0.985;;0.965;0.945;;0.940;0.925;0.905;0.885;0.780;0.630;0.450;0.000;0.000;0.000;0.000;0.000;8.410;2.1;2.1;0.5;1.6;2.2;2.3;13.5;23.8;40.0;0.0;0.0;0.0;0.0;0.0;6.3;11.4;Health Care;(15.1);3.5 ;31.4;1.08;1.08;1.12;1.15;1.18;5.62;9.9;0.29 ;28.8 ;(3.6);12.6 ;10.2 
Valmont Industries;VMI;Industrial Goods;13;222;N;N;136.17;1.10;0.2500;0.3750;50.00;6-25-14;6-27-14;7-15-14;A15;;1.50;17.44;26.9 ;15.83;12;8.60;1.66;1.11;2.29;14.90;18.3 ;13.4 ;15.5 ;9.6 ;9 ;3,566;1.0;0.31;0.975;1.275 ;17.3;14.7;15.1;11.9 ;0.950;;0.810;0.690;;0.630;0.560;0.470;0.400;0.360;0.330;0.320;0.310;0.280;0.260;0.260;0.260;6.890;17.3;17.4;9.5;12.5;19.1;17.5;11.1;9.1;3.1;3.2;10.7;7.7;0.0;0.0;9.9;6.3;Industrials;0.4 ;16.2 ;81.3;1.05;1.15;1.26;1.38;1.51;6.34;4.7;1.12 ;7.4 ;(16.2);(0.1);(6.9)
